index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
157,100550770,17/08/21,885560,2,99.9,99.9,0.0,99.9,Mobiles & Tablets,Easypay_MA,31655,received
336,100550906,17/08/21,885761,2,232.5,232.5,0.0,232.5,Mobiles & Tablets,cod,6702,received
739,100552922,26/08/21,889088,2,227.2,227.2,0.0,227.2,Computing,bankalfalah,43257,cancelled
740,100553532,29/08/21,890037,2,195.0,195.0,0.0,195.0,Women's Fashion,bankalfalah,43257,cancelled
741,100553532,29/08/21,890038,2,119.9,119.9,0.0,119.9,Home & Living,bankalfalah,43257,cancelled
742,100553532,29/08/21,890039,2,44.0,44.0,0.0,44.0,Home & Living,bankalfalah,43257,cancelled
743,100553790,30/08/21,890479,2,227.2,227.2,0.0,227.2,Computing,cod,43257,received
1066,100547449,05/08/21,880112,2,99.9,99.9,0.0,99.9,Others,cod,59587,received
1067,100547449,05/08/21,880114,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
1068,100549366,12/08/21,883193,5,0.2,0.8,0.0,0.8,Others,cod,59587,cancelled
1069,100549387,12/08/21,883236,3,13.2,26.4,0.0,26.4,Superstore,apg,59587,cancelled
1070,100549940,14/08/21,884150,3,0.2,0.4,0.0,0.4,Others,cod,59587,cancelled
1071,100549941,14/08/21,884151,3,0.2,0.4,0.0,0.4,Others,bankalfalah,59587,cancelled
1072,100550029,14/08/21,884300,3,0.2,0.4,0.0,0.4,Others,cod,59587,cancelled
1073,100550034,14/08/21,884306,2,0.2,0.2,0.0,0.2,Others,cod,59587,received
1074,100550039,14/08/21,884311,2,0.2,0.2,0.0,0.2,Others,easypay_voucher,59587,cancelled
1075,100550040,14/08/21,884312,2,0.2,0.2,0.0,0.2,Others,Payaxis,59587,cancelled
1076,100550040,14/08/21,884313,2,35.5,35.5,0.0,35.5,Superstore,Payaxis,59587,cancelled
1077,100550358,15/08/21,884758,3,20.0,40.0,0.0,40.0,Others,cod,59587,received
1078,100550363,15/08/21,884766,2,10.0,10.0,0.0,10.0,Others,cod,59587,cancelled
1079,100553645,29/08/21,890196,3,10.0,20.0,0.0,20.0,Others,cod,59587,received
1200,100547615,05/08/21,880364,2,199.9,199.9,0.0,199.9,Women's Fashion,cod,60167,received
1277,100549279,12/08/21,883059,2,110.0,110.0,0.0,110.0,Men's Fashion,cod,57134,received
1278,100550059,14/08/21,884366,2,110.0,110.0,0.0,110.0,Men's Fashion,cod,57134,received
1279,100552418,23/08/21,888173,2,129.9,129.9,0.0,129.9,Health & Sports,cod,57134,received
1434,100551141,19/08/21,886149,2,4531.2,4531.2,0.0,4531.2,Computing,cod,50293,received
1435,100551903,21/08/21,887374,2,8179.9,8179.9,0.0,8179.9,Mobiles & Tablets,bankalfalah,50293,cancelled
1496,100547794,06/08/21,880688,2,209.0,209.0,0.0,209.0,Women's Fashion,bankalfalah,53044,cancelled
1497,100547812,06/08/21,880712,2,209.0,209.0,0.0,209.0,Women's Fashion,bankalfalah,53044,cancelled
1498,100547812,06/08/21,880713,2,49.9,49.9,0.0,49.9,Kids & Baby,bankalfalah,53044,cancelled
1730,100547216,04/08/21,879752,2,3229.1,3229.1,0.0,3229.1,Entertainment,cod,800,received
1731,100550293,15/08/21,884678,2,49.9,49.9,0.0,49.9,Mobiles & Tablets,cod,800,received
1732,100550293,15/08/21,884679,2,99.9,99.9,0.0,99.9,Men's Fashion,cod,800,received
1733,100550331,15/08/21,884726,1,1579.9,0.0,0.0,0.0,Entertainment,bankalfalah,800,received
1734,100550333,15/08/21,884728,1,1579.9,0.0,0.0,0.0,Entertainment,bankalfalah,800,received
1735,100550420,15/08/21,884854,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,cancelled
1736,100550421,15/08/21,884855,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1737,100550424,15/08/21,884858,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1738,100550426,15/08/21,884860,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1739,100552189,22/08/21,887857,1,1719.9,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1740,100552191,22/08/21,887859,1,1719.9,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1741,100552194,22/08/21,887862,1,1719.9,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1742,100552195,22/08/21,887863,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1743,100552196,22/08/21,887864,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,received
1744,100552199,22/08/21,887867,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,cancelled
1745,100552201,22/08/21,887869,1,1582.0,0.0,0.0,0.0,Mobiles & Tablets,bankalfalah,800,cancelled
2383,100547983,07/08/21,880954,2,57.0,57.0,0.0,57.0,Superstore,cod,49042,received
2384,100547983,07/08/21,880955,2,35.0,35.0,0.0,35.0,Superstore,cod,49042,received
2385,100547983,07/08/21,880956,2,7.1,7.1,0.0,7.1,Beauty & Grooming,cod,49042,received
2508,100550592,16/08/21,885152,3,240.0,480.0,0.0,480.0,School & Education,cod,48764,received
2509,100550592,16/08/21,885153,3,391.0,782.0,0.0,782.0,School & Education,cod,48764,received
2510,100553219,27/08/21,889564,2,4531.2,4531.2,0.0,4531.2,Computing,cod,48764,received
2925,100550938,18/08/21,885825,2,29.8,29.8,0.0,29.8,Women's Fashion,cod,35133,received
2926,100550938,18/08/21,885826,2,69.75,69.75,0.0,69.75,Women's Fashion,cod,35133,received
2927,100550938,18/08/21,885827,2,110.5,110.5,0.0,110.5,Women's Fashion,cod,35133,received
2928,100550938,18/08/21,885828,2,69.75,69.75,0.0,69.75,Women's Fashion,cod,35133,received
2929,100550938,18/08/21,885829,2,56.7,56.7,0.0,56.7,Women's Fashion,cod,35133,received
3000,100551966,22/08/21,887470,9,71.9,575.2,277.02,298.18,Appliances,bankalfalah,27761,received
3001,100551966,22/08/21,887471,11,35.0,350.0,0.0,350.0,Home & Living,bankalfalah,27761,received
3002,100551966,22/08/21,887472,19,37.5,675.0,0.0,675.0,Superstore,bankalfalah,27761,received
3003,100551966,22/08/21,887473,11,29.5,295.0,0.0,295.0,School & Education,bankalfalah,27761,received
3004,100551966,22/08/21,887474,10,69.5,625.5,0.0,625.5,School & Education,bankalfalah,27761,received
3005,100551966,22/08/21,887475,11,39.5,395.0,0.0,395.0,School & Education,bankalfalah,27761,received
3006,100551966,22/08/21,887476,11,22.6,226.0,0.0,226.0,Superstore,bankalfalah,27761,received
3007,100551966,22/08/21,887477,21,7.3,146.0,0.0,146.0,Superstore,bankalfalah,27761,received
3008,100551966,22/08/21,887478,21,7.3,146.0,0.0,146.0,Superstore,bankalfalah,27761,received
3009,100551966,22/08/21,887479,11,17.6,176.0,0.0,176.0,Superstore,bankalfalah,27761,received
3010,100553699,29/08/21,890306,2,79.2,79.2,11.88,67.32,Appliances,bankalfalah,27761,received
3082,100552133,22/08/21,887760,2,2447.9,2447.9,0.0,2447.9,Appliances,bankalfalah,12178,cancelled
3248,100546821,02/08/21,879115,1,3869.9,0.0,0.0,0.0,Mobiles & Tablets,cod,1555,received
3249,100546829,02/08/21,879124,2,5688.0,5688.0,0.0,5688.0,Mobiles & Tablets,cod,1555,received
3805,100548129,08/08/21,881197,3,79.4,158.8,40.0,118.8,Appliances,bankalfalah,57629,cancelled
3806,100548129,08/08/21,881198,3,92.4,184.8,40.0,144.8,Appliances,bankalfalah,57629,cancelled
3819,100548492,08/08/21,881777,2,35.94,35.94,0.0,35.94,Men's Fashion,bankalfalah,17482,cancelled
3820,100548493,08/08/21,881779,3,35.94,71.88,0.0,71.88,Men's Fashion,cod,17482,received
3821,100548543,09/08/21,881863,2,188.1,188.1,0.0,188.1,Beauty & Grooming,cod,17482,received
3822,100554104,31/08/21,891021,2,240.0,240.0,0.0,240.0,Beauty & Grooming,bankalfalah,17482,cancelled
