index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
99,100560796,19/09/21,902351,1,39.8,0.0,0.0,0.0,Men's Fashion,Payaxis,56449,cancelled
100,100560807,19/09/21,902371,1,99.9,0.0,0.0,0.0,Men's Fashion,Payaxis,56449,cancelled
101,100560817,19/09/21,902382,1,99.9,0.0,0.0,0.0,Men's Fashion,Payaxis,56449,cancelled
102,100560829,19/09/21,902397,1,99.9,0.0,0.0,0.0,Men's Fashion,Payaxis,56449,cancelled
103,100560841,19/09/21,902410,2,119.8,119.8,0.0,119.8,Men's Fashion,Payaxis,56449,cancelled
337,100556162,11/09/21,894708,2,15.0,15.0,0.0,15.0,Mobiles & Tablets,cod,6702,received
338,100556162,11/09/21,894709,2,2099.9,2099.9,0.0,2099.9,Mobiles & Tablets,cod,6702,received
339,100556313,11/09/21,894951,2,2099.9,2099.9,0.0,2099.9,Mobiles & Tablets,cod,6702,received
340,100556313,11/09/21,894952,2,15.0,15.0,0.0,15.0,Mobiles & Tablets,cod,6702,received
341,100559234,16/09/21,899950,1,2099.9,0.0,0.0,0.0,Mobiles & Tablets,jazzvoucher,6702,cancelled
342,100559234,16/09/21,899951,11,87.0,870.0,0.0,870.0,Appliances,jazzvoucher,6702,cancelled
343,100559234,16/09/21,899952,11,9.9,99.0,0.0,99.0,Mobiles & Tablets,jazzvoucher,6702,cancelled
344,100559533,17/09/21,900453,2,1149.5,1149.5,0.0,1149.5,Women's Fashion,cod,6702,cancelled
744,100554594,03/09/21,891899,2,60.0,60.0,0.0,60.0,Home & Living,bankalfalah,43257,cancelled
745,100554594,03/09/21,891900,2,64.9,64.9,0.0,64.9,Home & Living,bankalfalah,43257,cancelled
746,100555596,08/09/21,893777,2,288.0,288.0,0.0,288.0,Women's Fashion,cod,43257,received
747,100556002,10/09/21,894441,2,35.0,35.0,0.0,35.0,Beauty & Grooming,bankalfalah,43257,cancelled
748,100556002,10/09/21,894442,2,69.9,69.9,0.0,69.9,Beauty & Grooming,bankalfalah,43257,cancelled
749,100556002,10/09/21,894443,2,104.0,104.0,0.0,104.0,Women's Fashion,bankalfalah,43257,cancelled
750,100556003,10/09/21,894445,2,104.0,104.0,0.0,104.0,Women's Fashion,bankalfalah,43257,cancelled
751,100556003,10/09/21,894447,2,35.0,35.0,0.0,35.0,Beauty & Grooming,bankalfalah,43257,cancelled
752,100557794,15/09/21,897649,2,35.0,35.0,0.0,35.0,Beauty & Grooming,cod,43257,cancelled
753,100557794,15/09/21,897650,2,104.0,104.0,0.0,104.0,Women's Fashion,cod,43257,cancelled
754,100557794,15/09/21,897652,2,169.9,169.9,0.0,169.9,Kids & Baby,cod,43257,cancelled
776,100556481,12/09/21,895247,2,74.9,74.9,0.0,74.9,Men's Fashion,cod,35698,received
873,100557774,15/09/21,897612,2,22.5,22.5,0.0,22.5,Men's Fashion,bankalfalah,52373,cancelled
874,100557774,15/09/21,897614,2,22.5,22.5,0.0,22.5,Men's Fashion,bankalfalah,52373,cancelled
875,100557774,15/09/21,897616,2,22.5,22.5,0.0,22.5,Men's Fashion,bankalfalah,52373,cancelled
876,100557774,15/09/21,897618,2,17.9,17.9,0.0,17.9,Beauty & Grooming,bankalfalah,52373,cancelled
877,100557774,15/09/21,897619,2,14.1,14.1,0.0,14.1,Beauty & Grooming,bankalfalah,52373,cancelled
878,100557774,15/09/21,897620,2,9.0,9.0,0.0,9.0,Superstore,bankalfalah,52373,cancelled
1080,100555799,09/09/21,894071,3,40.0,80.0,0.0,80.0,Others,cod,59587,received
1081,100556240,11/09/21,894826,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
1082,100556243,11/09/21,894830,2,0.2,0.2,0.0,0.2,Others,bankalfalah,59587,cancelled
1083,100556245,11/09/21,894834,2,0.2,0.2,0.0,0.2,Others,Payaxis,59587,cancelled
1084,100556246,11/09/21,894836,2,0.2,0.2,0.0,0.2,Others,bankalfalah,59587,cancelled
1085,100556248,11/09/21,894839,2,0.2,0.2,0.0,0.2,Others,bankalfalah,59587,received
1086,100556253,11/09/21,894845,2,0.2,0.2,0.0,0.2,Others,Payaxis,59587,cancelled
