index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
91,100533723,25/06/21,855999,2,299.9,299.9,0.0,299.9,Men's Fashion,Payaxis,56449,cancelled
92,100533724,25/06/21,856000,2,299.9,299.9,0.0,299.9,Men's Fashion,Payaxis,56449,cancelled
93,100533726,25/06/21,856002,2,299.9,299.9,0.0,299.9,Men's Fashion,Payaxis,56449,cancelled
94,100533727,25/06/21,856003,2,299.9,299.9,0.0,299.9,Men's Fashion,Payaxis,56449,cancelled
95,100533729,25/06/21,856005,2,1600.0,1600.0,0.0,1600.0,Men's Fashion,Payaxis,56449,cancelled
96,100533733,25/06/21,856010,2,59.9,59.9,0.0,59.9,Men's Fashion,Payaxis,56449,cancelled
97,100533735,25/06/21,856013,2,274.9,274.9,0.0,274.9,Men's Fashion,Payaxis,56449,cancelled
98,100533739,25/06/21,856019,2,39.9,39.9,0.0,39.9,Men's Fashion,Payaxis,56449,cancelled
192,100535491,29/06/21,859320,2,22.5,22.5,0.0,22.5,Soghaat,cod,37011,received
193,100535491,29/06/21,859321,2,59.9,59.9,0.0,59.9,Men's Fashion,cod,37011,received
194,100535491,29/06/21,859323,2,23.0,23.0,0.0,23.0,Soghaat,cod,37011,received
195,100535493,29/06/21,859332,2,22.5,22.5,0.0,22.5,Soghaat,cod,37011,received
196,100535493,29/06/21,859333,2,59.9,59.9,0.0,59.9,Men's Fashion,cod,37011,received
197,100535493,29/06/21,859335,2,23.0,23.0,0.0,23.0,Soghaat,cod,37011,received
198,100535496,29/06/21,859338,2,22.5,22.5,0.0,22.5,Soghaat,cod,37011,received
199,100535496,29/06/21,859339,2,59.9,59.9,0.0,59.9,Men's Fashion,cod,37011,received
200,100535496,29/06/21,859341,2,23.0,23.0,0.0,23.0,Soghaat,cod,37011,received
201,100535498,29/06/21,859350,2,22.5,22.5,0.0,22.5,Soghaat,cod,37011,received
202,100535498,29/06/21,859351,2,59.9,59.9,0.0,59.9,Men's Fashion,cod,37011,received
203,100535498,29/06/21,859353,3,23.0,46.0,0.0,46.0,Soghaat,cod,37011,received
321,100521069,08/06/21,838235,3,200.0,400.0,82.714,317.286,Appliances,jazzvoucher,6702,received
322,100521069,08/06/21,838236,11,34.0,340.0,0.0,340.0,Appliances,jazzvoucher,6702,received
323,100521069,08/06/21,838237,11,39.9,399.0,0.0,399.0,Home & Living,jazzvoucher,6702,received
324,100523344,11/06/21,841350,2,3989.9,3989.9,0.0,3989.9,Mobiles & Tablets,cod,6702,received
325,100531635,20/06/21,852907,2,19.9,19.9,0.0,19.9,Mobiles & Tablets,cod,6702,cancelled
326,100531635,20/06/21,852908,2,17.6,17.6,0.0,17.6,Home & Living,cod,6702,cancelled
327,100531635,20/06/21,852909,2,79.5,79.5,0.0,79.5,Appliances,cod,6702,cancelled
328,100531635,20/06/21,852910,2,200.0,200.0,0.0,200.0,Appliances,cod,6702,cancelled
329,100533386,24/06/21,855481,2,49.0,49.0,0.0,49.0,Women's Fashion,cod,6702,cancelled
330,100533386,24/06/21,855483,2,611.0,611.0,0.0,611.0,Computing,cod,6702,cancelled
331,100535402,29/06/21,859128,2,2938.0,2938.0,0.0,2938.0,Mobiles & Tablets,cod,6702,received
650,100519864,06/06/21,836610,1,5525.0,0.0,0.0,0.0,Appliances,easypay_voucher,44445,received
651,100519875,06/06/21,836625,1,5315.0,0.0,0.0,0.0,Appliances,easypay_voucher,44445,received
652,100519879,06/06/21,836629,1,5315.0,0.0,0.0,0.0,Appliances,easypay_voucher,44445,received
653,100519892,06/06/21,836644,1,5315.0,0.0,0.0,0.0,Appliances,easypay_voucher,44445,received
654,100523992,11/06/21,842245,2,5525.0,5525.0,0.0,5525.0,Appliances,cod,44445,received
679,100516992,01/06/21,832533,2,169.9,169.9,0.0,169.9,Men's Fashion,cod,8592,received
680,100522716,10/06/21,840509,2,168.8,168.8,0.0,168.8,Men's Fashion,customercredit,8592,received
860,100521316,08/06/21,838606,2,59.9,59.9,0.0,59.9,Beauty & Grooming,bankalfalah,52373,cancelled
861,100521316,08/06/21,838607,2,23.5,23.5,0.0,23.5,Home & Living,bankalfalah,52373,cancelled
862,100521316,08/06/21,838608,2,13.0,13.0,0.0,13.0,Soghaat,bankalfalah,52373,cancelled
863,100521316,08/06/21,838609,2,14.0,14.0,0.0,14.0,Soghaat,bankalfalah,52373,cancelled
864,100521857,09/06/21,839360,2,59.9,59.9,0.0,59.9,Beauty & Grooming,cod,52373,received
