index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
184,100514243,21/05/21,827831,2,350.0,350.0,0.0,350.0,Appliances,cod,15106,received
313,100513893,19/05/21,827125,2,232.5,232.5,0.0,232.5,Mobiles & Tablets,cod,6702,cancelled
314,100513959,19/05/21,827250,2,49.9,49.9,0.0,49.9,Mobiles & Tablets,cod,6702,received
315,100513959,19/05/21,827251,2,232.5,232.5,0.0,232.5,Mobiles & Tablets,cod,6702,received
316,100516263,28/05/21,831229,2,15.3,15.3,0.0,15.3,Home & Living,cod,6702,received
317,100516263,28/05/21,831230,2,76.0,76.0,0.0,76.0,Men's Fashion,cod,6702,received
318,100516263,28/05/21,831231,2,209.0,209.0,0.0,209.0,Women's Fashion,cod,6702,received
319,100516608,30/05/21,831794,2,118.8,118.8,0.0,118.8,Computing,cod,6702,received
320,100516759,31/05/21,832067,2,815.1,815.1,0.0,815.1,Computing,cod,6702,received
649,100516008,27/05/21,830827,2,229.9,229.9,0.0,229.9,Appliances,cod,44445,received
738,100509632,06/05/21,819275,2,130.0,130.0,0.0,130.0,Women's Fashion,cod,43257,received
1024,100511086,12/05/21,821770,21,50.0,1000.0,0.0,1000.0,Others,cod,59587,cancelled
1025,100511086,12/05/21,821771,2,3000.0,3000.0,500.0,2500.0,Others,cod,59587,cancelled
1026,100511089,12/05/21,821775,1,3000.0,0.0,0.0,0.0,Others,cod,59587,cancelled
1027,100513785,19/05/21,826887,2,105.0,105.0,0.0,105.0,Others,customercredit,59587,received
1028,100515414,26/05/21,829831,3,0.2,0.4,0.0,0.4,Others,cod,59587,received
1029,100515415,26/05/21,829832,3,0.2,0.4,0.0,0.4,Others,cod,59587,received
1030,100516168,28/05/21,831078,2,0.2,0.2,0.0,0.2,Others,cod,59587,received
1031,100516188,28/05/21,831106,2,0.2,0.2,0.0,0.2,Others,cod,59587,received
1032,100516191,28/05/21,831110,2,0.2,0.2,0.0,0.2,Others,Payaxis,59587,cancelled
1376,100516556,30/05/21,831710,2,19.9,19.9,0.0,19.9,Women's Fashion,cod,59284,received
1377,100516556,30/05/21,831711,2,89.9,89.9,0.0,89.9,School & Education,cod,59284,received
