index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
90,100441393,01/02/21,723634,2,2625.0,2625.0,0.0,2625.0,Appliances,Payaxis,56449,cancelled
138,100445653,17/02/21,731046,3,39.4,78.8,0.0,78.8,Health & Sports,jazzwallet,31655,received
139,100445653,17/02/21,731047,2,22.5,22.5,0.0,22.5,Men's Fashion,jazzwallet,31655,received
174,100442319,04/02/21,724960,3,29.9,59.8,0.0,59.8,Beauty & Grooming,cod,15106,received
299,100444051,09/02/21,727939,3,161.5,323.0,0.0,323.0,Mobiles & Tablets,cod,6702,received
300,100444942,14/02/21,729583,2,7031.3,7031.3,0.0,7031.3,Mobiles & Tablets,cod,6702,received
301,100446028,19/02/21,731809,1,161.5,0.0,0.0,0.0,Mobiles & Tablets,cod,6702,received
302,100446227,20/02/21,732120,2,7031.3,7031.3,0.0,7031.3,Mobiles & Tablets,cod,6702,cancelled
303,100447285,26/02/21,733937,2,5729.2,5729.2,0.0,5729.2,Computing,cod,6702,cancelled
304,100447668,28/02/21,734566,2,249.9,249.9,0.0,249.9,Computing,cod,6702,received
351,100446326,20/02/21,732266,3,15.0,30.0,0.0,30.0,Soghaat,Payaxis,60137,cancelled
352,100446326,20/02/21,732267,3,22.5,45.0,0.0,45.0,Soghaat,Payaxis,60137,cancelled
408,100441347,01/02/21,723553,3,19.9,39.8,0.0,39.8,Men's Fashion,cod,55731,received
409,100441347,01/02/21,723554,2,49.9,49.9,0.0,49.9,Men's Fashion,cod,55731,received
410,100441347,01/02/21,723555,2,154.9,154.9,0.0,154.9,Men's Fashion,cod,55731,received
411,100441361,01/02/21,723577,3,23.8,47.6,0.0,47.6,Men's Fashion,cod,55731,received
412,100441361,01/02/21,723578,2,12.5,12.5,0.0,12.5,Men's Fashion,cod,55731,received
413,100441361,01/02/21,723579,2,19.9,19.9,0.0,19.9,Men's Fashion,cod,55731,received
414,100441361,01/02/21,723580,2,21.0,21.0,0.0,21.0,Beauty & Grooming,cod,55731,received
415,100442308,03/02/21,724942,2,154.9,154.9,0.0,154.9,Men's Fashion,cod,55731,received
416,100442691,05/02/21,725548,2,499.9,499.9,0.0,499.9,Mobiles & Tablets,cod,55731,received
417,100442789,05/02/21,725671,3,36.6,73.2,0.0,73.2,Beauty & Grooming,cod,55731,received
418,100442789,05/02/21,725672,2,36.0,36.0,0.0,36.0,Men's Fashion,cod,55731,received
419,100444841,13/02/21,729411,2,124.9,124.9,20.0,104.9,Men's Fashion,cod,55731,received
443,100446802,23/02/21,733147,2,227.2,227.2,0.0,227.2,Computing,cod,60141,received
617,100442812,05/02/21,725722,2,359.4,359.4,0.0,359.4,Appliances,cod,44445,received
618,100443085,06/02/21,726187,2,2079.9,2079.9,0.0,2079.9,Appliances,cod,44445,received
619,100444525,11/02/21,728816,2,3999.9,3999.9,0.0,3999.9,Appliances,cod,44445,received
782,100442948,06/02/21,725936,2,615.8,615.8,0.0,615.8,Computing,Easypay,58132,cancelled
1000,100447165,25/02/21,733729,3,98.0,196.0,0.0,196.0,Others,cod,59587,received
1001,100447168,25/02/21,733738,3,98.0,196.0,0.0,196.0,Others,cod,59587,received
1002,100447168,25/02/21,733739,3,10.0,20.0,0.0,20.0,Others,cod,59587,received
1003,100447169,25/02/21,733743,3,98.0,196.0,0.0,196.0,Others,cod,59587,received
1004,100447169,25/02/21,733744,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
1005,100447345,26/02/21,734022,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1006,100447346,26/02/21,734023,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1133,100442032,03/02/21,724591,1,7916.7,0.0,0.0,0.0,Mobiles & Tablets,cod,56216,cancelled
1134,100442034,03/02/21,724594,1,2790.0,0.0,0.0,0.0,Mobiles & Tablets,cod,56216,received
1135,100442438,04/02/21,725140,2,1063.1,1063.1,0.0,1063.1,Computing,cod,56216,received
1136,100442438,04/02/21,725141,2,755.3,755.3,0.0,755.3,Appliances,cod,56216,received
1155,100447373,26/02/21,734063,2,239.1,239.1,0.0,239.1,Appliances,cod,58862,received
