index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
296,100438643,21/01/21,718698,2,6979.2,6979.2,0.0,6979.2,Mobiles & Tablets,cod,6702,cancelled
297,100439395,24/01/21,719994,2,6979.2,6979.2,0.0,6979.2,Mobiles & Tablets,cod,6702,received
298,100439912,25/01/21,721015,2,255.9,255.9,0.0,255.9,Men's Fashion,cod,6702,cancelled
407,100437996,18/01/21,717518,2,1894.6,1894.6,0.0,1894.6,Mobiles & Tablets,Easypay_MA,55731,cancelled
606,100430519,01/01/21,703609,2,49.9,49.9,0.0,49.9,Appliances,easypay_voucher,44445,cancelled
607,100432179,04/01/21,706727,2,2552.1,2552.1,0.0,2552.1,Appliances,cod,44445,received
608,100432181,04/01/21,706729,2,49.9,49.9,0.0,49.9,Appliances,cod,44445,received
609,100432188,04/01/21,706755,2,139.9,139.9,0.0,139.9,Appliances,cod,44445,received
610,100433652,08/01/21,709629,2,49.9,49.9,0.0,49.9,Men's Fashion,cod,44445,received
611,100433652,08/01/21,709631,2,49.9,49.9,0.0,49.9,Men's Fashion,cod,44445,received
612,100435045,10/01/21,711973,2,187.5,187.5,0.0,187.5,Men's Fashion,cod,44445,received
613,100435045,10/01/21,711975,2,150.0,150.0,0.0,150.0,Men's Fashion,cod,44445,received
614,100435045,10/01/21,711977,2,37.5,37.5,0.0,37.5,Men's Fashion,cod,44445,received
615,100435045,10/01/21,711979,2,37.5,37.5,0.0,37.5,Men's Fashion,cod,44445,received
616,100435401,11/01/21,712668,2,465.2,465.2,0.0,465.2,Appliances,cod,44445,received
737,100431010,02/01/21,704564,2,112.0,112.0,0.0,112.0,Mobiles & Tablets,cod,43257,cancelled
771,100437991,18/01/21,717504,2,37.5,37.5,0.0,37.5,Men's Fashion,cod,35698,received
772,100437991,18/01/21,717506,2,69.9,69.9,0.0,69.9,Men's Fashion,cod,35698,received
773,100437991,18/01/21,717508,2,29.9,29.9,0.0,29.9,Women's Fashion,cod,35698,received
987,100430996,02/01/21,704540,2,900.0,900.0,0.0,900.0,Others,cod,59587,cancelled
988,100431006,02/01/21,704558,3,10.0,20.0,0.0,20.0,Others,cod,59587,received
989,100431015,02/01/21,704574,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
990,100431039,02/01/21,704623,2,10.0,10.0,0.0,10.0,Others,easypay_voucher,59587,cancelled
991,100431068,02/01/21,704672,2,99.9,99.9,0.0,99.9,Others,Easypay,59587,cancelled
992,100431200,02/01/21,704894,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
993,100433317,07/01/21,708954,2,900.0,900.0,0.0,900.0,Others,cod,59587,received
994,100433317,07/01/21,708955,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
995,100433624,08/01/21,709567,2,36.0,36.0,0.0,36.0,Others,cod,59587,received
996,100433630,08/01/21,709581,3,10.0,20.0,0.0,20.0,Others,cod,59587,received
997,100436381,14/01/21,714428,2,10.0,10.0,0.0,10.0,Others,Easypay,59587,cancelled
998,100436382,14/01/21,714429,2,10.0,10.0,0.0,10.0,Others,cod,59587,received
999,100440406,28/01/21,721911,2,150.0,150.0,0.0,150.0,Others,cod,59587,received
1128,100431442,02/01/21,705275,2,2849.8,2849.8,0.0,2849.8,Mobiles & Tablets,cod,56216,received
1129,100436091,13/01/21,713887,2,869.9,869.9,0.0,869.9,Appliances,customercredit,56216,received
1130,100438900,22/01/21,719154,2,9479.0,9479.0,0.0,9479.0,Entertainment,cod,56216,received
1131,100439139,23/01/21,719572,2,9479.0,9479.0,0.0,9479.0,Entertainment,cod,56216,received
1132,100439204,23/01/21,719673,2,8499.9,8499.9,0.0,8499.9,Appliances,cod,56216,cancelled
1154,100430629,01/01/21,703815,3,89.4,178.8,0.0,178.8,Computing,cod,58862,received
1224,100441247,31/01/21,723378,5,110.0,440.0,200.0,240.0,Superstore,customercredit,14025,received
1333,100433132,07/01/21,708569,17,53.1,849.6,0.0,849.6,Soghaat,cod,60177,received
1334,100433132,07/01/21,708570,17,41.9,670.4,0.0,670.4,Soghaat,cod,60177,received
1335,100433132,07/01/21,708571,9,35.0,280.0,0.0,280.0,Soghaat,cod,60177,received
1410,100439301,23/01/21,719845,2,209.5,209.5,0.0,209.5,Women's Fashion,cod,50293,received
1411,100439301,23/01/21,719847,2,5363.0,5363.0,0.0,5363.0,Entertainment,cod,50293,received
1450,100431023,02/01/21,704586,2,48.8,48.8,0.0,48.8,Men's Fashion,Easypay,5743,received
1451,100431023,02/01/21,704587,2,54.9,54.9,0.0,54.9,Men's Fashion,Easypay,5743,received
1452,100431023,02/01/21,704589,2,39.8,39.8,0.0,39.8,Men's Fashion,Easypay,5743,received
1453,100431023,02/01/21,704590,2,34.8,34.8,0.0,34.8,Women's Fashion,Easypay,5743,received
