index,order_id,order_date,item_id,qty_ordered,price,value,discount_amount,total,category,payment_method,cust_id,final_status
175,100447999,01/03/21,735134,3,587.0,1174.0,300.0,874.0,Entertainment,Easypay,15106,cancelled
176,100447999,01/03/21,735135,9,182.0,1456.0,0.0,1456.0,Appliances,Easypay,15106,cancelled
177,100448205,01/03/21,735530,2,1239.9,1239.9,150.0,1089.9,Mobiles & Tablets,Easypay,15106,cancelled
178,100448717,01/03/21,736561,3,56.8,113.6,0.0,113.6,Entertainment,Easypay,15106,cancelled
179,100449034,03/03/21,737161,3,172.2,344.4,0.0,344.4,Appliances,cod,15106,received
180,100449034,03/03/21,737162,2,110.0,110.0,0.0,110.0,Appliances,cod,15106,received
305,100452228,17/03/21,743471,2,239.0,239.0,0.0,239.0,Women's Fashion,cod,6702,received
306,100452983,20/03/21,745347,2,2184.0,2184.0,0.0,2184.0,Men's Fashion,cod,6702,received
307,100460806,25/03/21,756130,2,2677.0,2677.0,0.0,2677.0,Mobiles & Tablets,cod,6702,received
308,100460836,25/03/21,756179,1,2677.0,0.0,0.0,0.0,Mobiles & Tablets,jazzvoucher,6702,cancelled
309,100462510,27/03/21,758903,2,2677.0,2677.0,0.0,2677.0,Mobiles & Tablets,cod,6702,cancelled
420,100448275,01/03/21,735640,3,48.0,96.0,0.0,96.0,Superstore,Easypay,55731,cancelled
421,100448275,01/03/21,735641,2,22.5,22.5,0.0,22.5,Men's Fashion,Easypay,55731,cancelled
422,100448292,01/03/21,735679,3,48.0,96.0,0.0,96.0,Superstore,cod,55731,received
423,100448292,01/03/21,735680,2,22.5,22.5,0.0,22.5,Men's Fashion,cod,55731,received
620,100450223,08/03/21,739079,2,1249.9,1249.9,0.0,1249.9,Appliances,cod,44445,received
621,100450225,08/03/21,739081,2,595.7,595.7,0.0,595.7,Appliances,cod,44445,received
622,100452499,18/03/21,744212,2,88.5,88.5,0.0,88.5,Appliances,cod,44445,received
623,100460856,25/03/21,756208,2,1273.7,1273.7,0.0,1273.7,Appliances,cod,44445,received
624,100465383,31/03/21,763668,2,1359.9,1359.9,0.0,1359.9,Appliances,cod,44445,received
625,100465422,31/03/21,763730,2,1379.0,1379.0,0.0,1379.0,Appliances,cod,44445,received
774,100450546,11/03/21,739634,2,105.8,105.8,0.0,105.8,Men's Fashion,cod,35698,received
775,100450546,11/03/21,739635,2,24.3,24.3,0.0,24.3,Men's Fashion,cod,35698,received
1007,100449061,03/03/21,737198,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1008,100449075,03/03/21,737221,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1009,100449424,05/03/21,737890,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1010,100449426,05/03/21,737894,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1011,100449429,05/03/21,737897,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1012,100450735,12/03/21,739914,2,35.0,35.0,0.0,35.0,Others,cod,59587,received
1013,100450745,12/03/21,739934,2,45.0,45.0,0.0,45.0,Others,cod,59587,received
1014,100450747,12/03/21,739938,2,25.0,25.0,0.0,25.0,Others,cod,59587,received
1015,100452072,17/03/21,743139,3,20.0,40.0,0.0,40.0,Others,cod,59587,received
1016,100452077,17/03/21,743145,3,105.0,210.0,0.0,210.0,Others,cod,59587,received
1017,100452669,19/03/21,744664,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1018,100465289,31/03/21,763516,2,20.0,20.0,0.0,20.0,Others,cod,59587,received
1019,100465291,31/03/21,763518,3,20.0,40.0,0.0,40.0,Others,cod,59587,received
1020,100465308,31/03/21,763536,3,35.0,70.0,0.0,70.0,Others,cod,59587,received
1021,100465309,31/03/21,763538,3,35.0,70.0,0.0,70.0,Others,cod,59587,received
1156,100449308,04/03/21,737654,2,158.9,158.9,0.0,158.9,Appliances,cod,58862,received
1182,100452290,17/03/21,743635,2,399.4,399.4,0.0,399.4,Men's Fashion,cod,44475,received
1183,100452651,19/03/21,744609,2,13.5,13.5,0.0,13.5,Beauty & Grooming,cod,44475,received
1184,100459783,24/03/21,754852,2,1716.0,1716.0,223.08,1492.92,Mobiles & Tablets,easypay_voucher,44475,cancelled
1185,100459789,24/03/21,754860,2,1716.0,1716.0,223.08,1492.92,Mobiles & Tablets,easypay_voucher,44475,cancelled
1186,100459815,24/03/21,754888,2,1716.0,1716.0,223.08,1492.92,Mobiles & Tablets,easypay_voucher,44475,cancelled
1187,100459827,24/03/21,754901,2,1716.0,1716.0,223.08,1492.92,Mobiles & Tablets,easypay_voucher,44475,cancelled
1227,100453771,20/03/21,746346,5,100.0,400.0,0.0,400.0,Others,jazzwallet,14025,received
1259,100448289,01/03/21,735675,2,860.0,860.0,150.0,710.0,Entertainment,Easypay,23398,received
